t_wall,id,putio_status,lifecycle_state,percent_done,putio_pct,local_present,local_dl,local_total
4.53,4002,DOWNLOADING,None,0.215,43,False,,
4.53,4004,ERROR,None,0,0,False,,
4.53,4001,COMPLETED,Processed,1,100,True,12000000,12000000
4.53,4003,COMPLETED,Processed,1,100,True,15136000,15136000
4.59,4001,COMPLETED,Processed,1,100,True,12000000,12000000
4.59,4003,COMPLETED,Processed,1,100,True,15136000,15136000
4.59,4002,DOWNLOADING,None,0.215,43,False,,
4.59,4004,ERROR,None,0,0,False,,
4.65,4002,DOWNLOADING,None,0.215,43,False,,
4.65,4004,ERROR,None,0,0,False,,
4.65,4001,COMPLETED,Processed,1,100,True,12000000,12000000
4.65,4003,COMPLETED,Processed,1,100,True,15136000,15136000
4.71,4001,COMPLETED,Processed,1,100,True,12000000,12000000
4.71,4003,COMPLETED,Processed,1,100,True,15136000,15136000
4.71,4002,DOWNLOADING,None,0.215,43,False,,
4.71,4004,ERROR,None,0,0,False,,
4.76,4001,COMPLETED,Processed,1,100,True,12000000,12000000
4.76,4003,COMPLETED,Processed,1,100,True,15136000,15136000
4.76,4002,DOWNLOADING,None,0.215,43,False,,
4.76,4004,ERROR,None,0,0,False,,
4.83,4004,ERROR,None,0,0,False,,
4.83,4001,COMPLETED,Processed,1,100,True,12000000,12000000
4.83,4003,COMPLETED,Processed,1,100,True,15136000,15136000
4.83,4002,DOWNLOADING,None,0.215,43,False,,
4.88,4001,COMPLETED,Processed,1,100,True,12000000,12000000
4.88,4003,COMPLETED,Processed,1,100,True,15136000,15136000
4.88,4002,DOWNLOADING,None,0.215,43,False,,
4.88,4004,ERROR,None,0,0,False,,
4.94,4001,COMPLETED,Processed,1,100,True,12000000,12000000
4.94,4003,COMPLETED,Processed,1,100,True,15136000,15136000
4.94,4002,DOWNLOADING,None,0.215,43,False,,
4.94,4004,ERROR,None,0,0,False,,
4.99,4001,COMPLETED,Processed,1,100,True,12000000,12000000
4.99,4003,COMPLETED,Processed,1,100,True,15136000,15136000
4.99,4002,DOWNLOADING,None,0.28,56,False,,
4.99,4004,ERROR,None,0,0,False,,
5.07,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.07,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.07,4002,DOWNLOADING,None,0.28,56,False,,
5.07,4004,ERROR,None,0,0,False,,
5.14,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.14,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.14,4002,DOWNLOADING,None,0.28,56,False,,
5.14,4004,ERROR,None,0,0,False,,
5.19,4004,ERROR,None,0,0,False,,
5.19,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.19,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.19,4002,DOWNLOADING,None,0.28,56,False,,
5.25,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.25,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.25,4002,DOWNLOADING,None,0.28,56,False,,
5.25,4004,ERROR,None,0,0,False,,
5.31,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.31,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.31,4002,DOWNLOADING,None,0.28,56,False,,
5.31,4004,ERROR,None,0,0,False,,
5.37,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.37,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.37,4002,DOWNLOADING,None,0.28,56,False,,
5.37,4004,ERROR,None,0,0,False,,
5.43,4004,ERROR,None,0,0,False,,
5.43,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.43,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.43,4002,DOWNLOADING,None,0.28,56,False,,
5.48,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.48,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.48,4002,DOWNLOADING,None,0.28,56,False,,
5.48,4004,ERROR,None,0,0,False,,
5.54,4004,ERROR,None,0,0,False,,
5.54,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.54,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.54,4002,DOWNLOADING,None,0.28,56,False,,
5.61,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.61,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.61,4002,DOWNLOADING,None,0.28,56,False,,
5.61,4004,ERROR,None,0,0,False,,
5.66,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.66,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.66,4002,DOWNLOADING,None,0.28,56,False,,
5.66,4004,ERROR,None,0,0,False,,
5.72,4002,DOWNLOADING,None,0.28,56,False,,
5.72,4004,ERROR,None,0,0,False,,
5.72,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.72,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.78,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.78,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.78,4002,DOWNLOADING,None,0.28,56,False,,
5.78,4004,ERROR,None,0,0,False,,
5.84,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.84,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.84,4002,DOWNLOADING,None,0.28,56,False,,
5.84,4004,ERROR,None,0,0,False,,
5.89,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.89,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.89,4002,DOWNLOADING,None,0.28,56,False,,
5.89,4004,ERROR,None,0,0,False,,
5.94,4004,ERROR,None,0,0,False,,
5.94,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.94,4003,COMPLETED,Processed,1,100,True,15136000,15136000
5.94,4002,DOWNLOADING,None,0.33,66,False,,
5.99,4002,DOWNLOADING,None,0.33,66,False,,
5.99,4004,ERROR,None,0,0,False,,
5.99,4001,COMPLETED,Processed,1,100,True,12000000,12000000
5.99,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.06,4004,ERROR,None,0,0,False,,
6.06,4001,COMPLETED,Processed,1,100,True,12000000,12000000
